,EDUCATION,MARRIAGE,AGE,BILL_AMT1
0,2,1,24,3913.0
1,2,2,26,2682.0
2,2,2,34,29239.0
3,2,1,37,46990.0
4,2,1,57,8617.0
5,1,2,37,64400.0
6,1,2,29,367965.0
7,2,2,23,11876.0
8,3,1,28,11285.0
9,3,2,35,0.0
10,3,2,34,11073.0
11,1,2,51,12261.0
12,2,2,41,12137.0
13,2,2,30,65802.0
14,1,2,29,70887.0
15,3,3,23,50614.0
16,1,2,24,15376.0
17,1,1,49,253286.0
18,1,1,49,0.0
19,1,2,29,0.0
20,3,2,39,38358.0
21,2,1,39,316.0
22,2,2,26,41087.0
23,1,1,40,5512.0
24,1,2,23,4744.0
25,3,2,23,47620.0
26,1,2,27,-109.0
27,3,2,30,22541.0
28,3,1,47,650.0
29,1,2,26,15329.0
30,1,2,27,16646.0
31,2,2,33,30518.0
32,1,2,32,93036.0
33,2,1,54,10929.0
34,1,1,58,13709.0
35,1,2,30,30265.0
36,2,1,40,186503.0
37,2,2,22,15054.0
38,1,2,25,0.0
39,1,2,31,498.0
40,1,2,33,218668.0
41,1,2,25,67521.0
42,2,2,22,1877.0
43,2,1,37,59504.0
44,1,2,30,18927.0
45,1,2,29,0.0
46,1,2,22,14028.0
47,5,2,46,4463.0
48,2,2,32,22401.0
49,1,2,24,17447.0
50,3,2,42,37042.0
51,3,3,43,61559.0
52,2,1,49,13465.0
53,1,2,25,41402.0
54,1,2,29,46224.0
55,1,1,45,1905.0
56,3,1,34,16386.0
57,2,1,34,175886.0
58,1,2,34,1587.0
59,2,1,29,400134.0
60,3,1,28,22848.0
61,2,1,39,70800.0
62,1,2,29,24987.0
63,2,1,46,28718.0
64,2,1,51,99.0
65,1,1,57,152519.0
66,2,1,56,2097.0
67,1,2,30,300.0
68,3,2,29,-190.0
69,5,2,22,18565.0
70,1,2,31,780.0
71,2,2,29,58267.0
72,2,1,32,9076.0
73,1,2,37,0.0
74,1,2,32,3048.0
75,2,2,24,14619.0
76,3,2,25,42838.0
77,1,1,45,291.0
78,2,2,22,28387.0
79,2,2,44,0.0
80,3,3,33,165254.0
81,1,2,26,23411.0
82,3,2,30,26324.0
83,2,1,44,131595.0
84,3,2,49,48909.0
85,2,2,33,130028.0
86,1,1,45,390.0
87,2,2,32,3826.0
88,1,1,35,81313.0
89,3,2,44,8583.0
90,1,1,53,138180.0
91,1,2,39,7524.0
92,1,2,27,-2000.0
93,2,1,37,880.0
94,2,2,23,45648.0
95,2,2,35,83725.0
96,1,1,43,3967.0
97,1,2,27,86009.0
98,3,1,22,18722.0
99,2,1,38,17973.0
100,1,2,32,672.0
101,1,2,30,-81.0
102,1,1,63,422069.0
103,3,2,22,44698.0
104,2,2,26,56685.0
105,2,2,24,5580.0
106,2,1,36,6108.0
107,1,2,52,713.0
108,2,2,38,171438.0
109,2,1,35,-103.0
110,1,1,31,105879.0
111,3,1,47,13244.0
112,2,1,41,135673.0
113,1,2,24,52128.0
114,2,2,41,19015.0
115,1,2,24,18199.0
116,1,2,28,326.0
117,2,2,26,14029.0
118,2,1,34,19660.0
119,2,2,38,50254.0
120,3,2,37,46004.0
121,1,1,40,0.0
122,1,1,48,0.0
123,2,1,35,304991.0
124,1,2,27,19115.0
125,2,2,23,0.0
126,3,2,52,110151.0
127,1,1,36,163736.0
128,2,1,51,3347.0
129,3,1,55,60521.0
130,1,2,23,4000.0
131,1,2,41,95.0
132,2,1,34,253454.0
133,3,1,46,227389.0
134,2,2,22,28452.0
135,2,1,34,10674.0
136,1,2,27,17444.0
137,2,1,33,7166.0
138,3,1,51,752.0
139,1,2,24,50801.0
140,1,2,47,0.0
141,2,2,28,1832.0
142,2,2,23,10131.0
143,2,2,29,12159.0
144,1,2,29,1199.0
145,1,2,28,4999.0
146,2,2,27,19269.0
147,1,2,34,197236.0
148,2,1,23,9168.0
149,1,1,60,-1100.0
150,2,1,32,86627.0
151,1,2,25,42444.0
152,1,2,41,208.0
153,2,1,56,208775.0
154,3,2,26,9014.0
155,1,1,34,23944.0
156,1,2,37,105420.0
157,3,2,30,196031.0
158,3,1,45,115785.0
159,3,1,57,12854.0
160,1,2,41,24357.0
161,2,2,27,390.0
162,3,1,47,1234.0
163,1,1,34,141223.0
164,2,1,46,21148.0
165,1,2,27,101640.0
166,1,2,50,6093.0
167,2,1,27,102349.0
168,2,1,35,72112.0
169,2,2,22,28040.0
170,2,2,37,37695.0
171,1,2,30,688.0
172,2,2,22,8567.0
173,1,2,24,-709.0
174,1,2,29,0.0
175,3,1,56,64617.0
176,1,2,30,6187.0
177,2,2,30,48860.0
178,2,2,22,16001.0
179,2,1,29,77883.0
180,1,2,37,12212.0
181,3,2,35,49608.0
182,1,1,47,56422.0
183,2,1,24,58024.0
184,2,2,25,10642.0
185,2,1,38,14483.0
186,1,2,32,2616.0
187,3,2,47,199436.0
188,2,1,34,0.0
189,2,2,31,21703.0
190,1,2,32,59901.0
191,1,2,27,19625.0
192,1,2,29,11386.0
193,1,2,24,14670.0
194,2,1,36,47790.0
195,1,2,24,36166.0
196,2,1,34,0.0
197,1,2,22,18553.0
198,1,1,34,412.0
199,3,2,22,29010.0
200,1,1,38,750.0
201,1,2,31,27123.0
202,1,2,26,13424.0
203,2,2,26,107314.0
204,2,1,48,226430.0
205,3,1,43,227.0
206,1,1,47,390.0
207,2,1,41,3088.0
208,2,2,24,81625.0
209,1,1,50,8872.0
210,1,2,24,105607.0
211,1,1,38,0.0
212,3,1,43,38257.0
213,2,2,39,28347.0
214,2,2,27,296573.0
215,3,1,42,390.0
216,2,1,36,-946.0
217,2,2,36,79278.0
218,3,0,31,89989.0
219,1,2,38,1424.0
220,1,1,40,105167.0
221,3,2,45,335196.0
222,2,2,35,291619.0
